SampleID,category,xsectioninpb,kfactor,filterefficiency,xsecunc,,
################################################################################################################,,,,,ls,,
,,,,,,,
# top,,,,,,,
# ttbar,,,,,,,
410501,     PowhegPythia8EvtGen_A14_ttbar_hdamp258p75_nonallhad,730.17,1.1391,0.544,1,,
410470,     PhPy8EG_A14_ttbar_hdamp258p75_nonallhad,729.77,1.13975636159,0.54383,1,,
,,,,,,,
# single top,,,,,,,
410025,    PowhegPythiaEvtGen_P2012_SingleTopSchan_noAllHad_top,2.0514,1.00478210003,1,1,,
410026,    PowhegPythiaEvtGen_P2012_SingleTopSchan_noAllHad_antitop,1.2615,1.02153151011,1,1,,
410011,    PowhegPythiaEvtGen_P2012_singletop_tchan_lept_top,43.739,1.00944237408,1,1,,
410012,    PowhegPythiaEvtGen_P2012_singletop_tchan_lept_antitop,25.778,1.01931879898,1,1,,
410013,    PowhegPythiaEvtGen_P2012_Wt_inclusive_top,34.009,1.054,1,1,,
410014,    PowhegPythiaEvtGen_P2012_Wt_inclusive_antitop,33.989,1.054,1,1,,
410015,    PowhegPythiaEvtGen_P2012_Wt_dilepton_top,3.5834,1.054,1,1,,
410016,    PowhegPythiaEvtGen_P2012_Wt_dilepton_antitop,3.5813,1.054,1,1,,
410644,    PowhegPythia8EvtGen_A14_singletop_schan_lept_top,2.027,1.017,1,1,,
410645,    PowhegPythia8EvtGen_A14_singletop_schan_lept_antitop,1.2674,1.0167,1,1,,
410646,    PowhegPythia8EvtGen_A14_Wt_DR_inclusive_top,37.936,0.945,1,1,,
410647,    PowhegPythia8EvtGen_A14_Wt_DR_inclusive_antitop,37.905,0.9457,1,1,,
410658,    PhPy8EG_A14_tchan_BW50_lept_top,36.996,1.1935,1,1,,
410659,    PhPy8EG_A14_tchan_BW50_lept_antitop,22.175,1.1849,1,1,,
,,,,,,,
################################################################################################################,,,,,,,
# VBF,,,,,,,
,,,,,,,
308092,    Sherpa_221_NNPDF30NNLO_Zee2jets_Min_N_TChannel,0.63148,1,1,1,,
308093,    Sherpa_221_NNPDF30NNLO_Zmm2jets_Min_N_TChannel,0.63522,1,1,1,,
308094,    Sherpa_221_NNPDF30NNLO_Ztautau2jets_Min_N_TChannel,0.63283,1,1,1,,
,,,,,,,
################################################################################################################,,,,,,,
,,,,,,,
# Diboson,,,,,,,
363358,   Sherpa_221_NNPDF30NNLO_WqqZll,3.4332,1,1,1,,
363356,   Sherpa_221_NNPDF30NNLO_ZqqZll,15.561,1,0.14103,1,,
363357,   Sherpa_221_NNPDF30NNLO_WqqZvv,6.7908,1,1,1,,
363355,   Sherpa_221_NNPDF30NNLO_ZqqZvv,15.565,1,0.27963,1,,
363489,   Sherpa_221_NNPDF30NNLO_WlvZqq,11.418,1,1,1,,
364255,   Sherpa_222_NNPDF30NNLO_lvvv,3.235,1,1,1,,
364254,   Sherpa_222_NNPDF30NNLO_llvv,12.504,1,1,1,,
364253,   Sherpa_222_NNPDF30NNLO_lllv,4.5786,1,1,1,,
364250,   Sherpa_222_NNPDF30NNLO_llll,1.2519,1,1,1,,
,,,,,,,
################################################################################################################,,,,,,,
,,,,,,,
# W+jets,,,,,,,
# Powheg,,,,,,,
361100, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu,11306,1.0172,1,1,,
361101, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu,11306,1.0172,1,1,,
361102, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplustaunu,11306,1.0172,1,1,,
361103, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminusenu,8282.6,1.0358,1,1,,
361104, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminusmunu,8282.6,1.0358,1,1,,
361105, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminustaunu,8282.6,1.0358,1,1,,
,,,,,,,
# Sherpa,,,,,,,
# e,,,,,,,
364172,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV0_70_BFilter,19138,0.9702,0.044838,1,,
364175,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV70_140_BFilter,945.74,0.9702,0.10341,1,,
364178,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV140_280_BFilter,339.67,0.9702,0.10898,1,,
364181,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV280_500_BFilter,72.1,0.9702,0.13706,1,,
364171,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV0_70_CFilterBVeto,19146,0.9702,0.13087,1,,
364174,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV70_140_CFilterBVeto,945.56,0.9702,0.24378,1,,
364177,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV140_280_CFilterBVeto,339.92,0.9702,0.29187,1,,
364180,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV280_500_CFilterBVeto,72.112,0.9702,0.31974,1,,
364170,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV0_70_CVetoBVeto,19152,0.9702,0.82467,1,,
364173,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV70_140_CVetoBVeto,944.67,0.9702,0.67486,1,,
364176,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV140_280_CVetoBVeto,339.69,0.9702,0.5988,1,,
364179,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV280_500_CVetoBVeto,72.069,0.9702,0.54825,1,,
364182,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV500_1000,15.047,0.9702,1,1,,
364183,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV1000_E_CMS,1.2342,0.9702,1,1,,
,,,,,,,
# mu,,,,,,,
364158,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV0_70_BFilter,19141,0.9702,0.044587,1,,
364161,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV70_140_BFilter,944.34,0.9702,0.083746,1,,
364164,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV140_280_BFilter,339.66,0.9702,0.110298,1,,
364167,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV280_500_BFilter,72.057,0.9702,0.12405,1,,
364156,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV0_70_CVetoBVeto,19151,0.9702,0.8244,1,,
364159,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV70_140_CVetoBVeto,945.52,0.9702,0.672,1,,
364162,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV140_280_CVetoBVeto,339.77,0.9702,0.6028,1,,
364165,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV280_500_CVetoBVeto,72.072,0.9702,0.54755,1,,
364157,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV0_70_CFilterBVeto,19142,0.9702,0.13088,1,,
364160,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV70_140_CFilterBVeto,945.52,0.9702,0.24592,1,,
364163,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV140_280_CFilterBVeto,339.8,0.9702,0.29188,1,,
364166,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV280_500_CFilterBVeto,72.093,0.9702,0.32013,1,,
364168,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV500_1000,15.007,0.9702,1,1,,
364169,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV1000_E_CMS,1.2349,0.9702,1,1,,
,,,,,,,
# tau,,,,,,,
364186,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV0_70_BFilter,19147,0.9702,0.045038,1,,
364189,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV70_140_BFilter,945.6,0.9702,0.10391,1,,
364192,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV140_280_BFilter,339.13,0.9702,0.10247,1,,
364195,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV280_500_BFilter,71.95,0.9702,0.13592,1,,
364184,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV0_70_CVetoBVeto,19156,0.9702,0.82465,1,,
364187,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV70_140_CVetoBVeto,944.97,0.9702,0.67644,1,,
364190,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV140_280_CVetoBVeto,339.79,0.9702,0.59869,1,,
364193,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV280_500_CVetoBVeto,72.085,0.9702,0.54821,1,,
364185,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV0_70_CFilterBVeto,19149,0.9702,0.13157,1,,
364188,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV70_140_CFilterBVeto,946.19,0.9702,0.24253,1,,
364191,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV140_280_CFilterBVeto,339.68,0.9702,0.28465,1,,
364194,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV280_500_CFilterBVeto,71.995,0.9702,0.31883,1,,
364196,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV500_1000,15.051,0.9702,1,1,,
364197,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV1000_E_CMS,1.234,0.9702,1,1,,
,,,,,,,
################################################################################################################,,,,,,,
,,,,,,,
# Z+jets,,,,,,,
# Powheg,,,,,,,
